# Time-averaged data for fix 2
# TimeStep v_simtime c_msd_type1[1] c_msd_type1[3]
10 0.01 0.0081756 -0.0722352
20 0.02 0.0469006 -0.0273262
30 0.03 0.0581378 0.130853
40 0.04 0.0556969 0.177043
50 0.05 0.0687787 -0.0567347
60 0.06 0.0879267 -0.0343612
70 0.07 0.108737 0.0761124
80 0.08 0.133002 0.10542
90 0.09 0.147851 0.314777
100 0.1 0.156981 0.820334
110 0.11 0.170636 1.19416
120 0.12 0.184495 1.07377
130 0.13 0.208245 0.71738
140 0.14 0.239562 0.512089
150 0.15 0.256107 0.503243
160 0.16 0.259537 0.555605
170 0.17 0.263941 0.595567
180 0.18 0.261826 0.600863
190 0.19 0.25361 0.542962
200 0.2 0.243431 0.437552
210 0.21 0.235103 0.345868
220 0.22 0.236359 0.308691
230 0.23 0.240991 0.270411
240 0.24 0.242438 0.278903
250 0.25 0.234289 0.445919
260 0.26 0.211654 0.77049
270 0.27 0.18831 0.97473
280 0.28 0.170352 0.877134
290 0.29 0.157227 0.722666
300 0.3 0.150815 0.514187
310 0.31 0.152468 0.423534
320 0.32 0.157017 0.419081
330 0.33 0.169372 0.418414
340 0.34 0.182845 0.521606
350 0.35 0.192714 0.647838
360 0.36 0.204127 0.622559
370 0.37 0.214841 0.416085
380 0.38 0.215585 0.199714
390 0.39 0.221265 0.203534
400 0.4 0.239781 0.272584
410 0.41 0.245468 0.389899
420 0.42 0.239686 0.662163
430 0.43 0.245022 0.731149
440 0.44 0.263275 0.564374
450 0.45 0.280226 0.482848
460 0.46 0.287962 0.492187
470 0.47 0.301548 0.513181
480 0.48 0.331827 0.550812
490 0.49 0.370977 0.603056
500 0.5 0.388307 0.564564
510 0.51 0.389758 0.491378
520 0.52 0.394103 0.440367
530 0.53 0.405603 0.437665
540 0.54 0.44661 0.407654
550 0.55 0.501988 0.412436
560 0.56 0.545524 0.557144
570 0.57 0.577112 0.722685
580 0.58 0.582586 0.761726
590 0.59 0.566139 0.765399
600 0.6 0.557629 0.686403
610 0.61 0.567083 0.569827
620 0.62 0.583835 0.500594
630 0.63 0.585158 0.509587
640 0.64 0.577815 0.564026
650 0.65 0.577083 0.641583
660 0.66 0.578486 0.670078
670 0.67 0.582399 0.639827
680 0.68 0.606807 0.539128
690 0.69 0.645501 0.465032
700 0.7 0.678627 0.499019
710 0.71 0.697354 0.589844
720 0.72 0.692618 0.652559
730 0.73 0.689025 0.712066
740 0.74 0.703809 0.814322
750 0.75 0.738335 0.865912
760 0.76 0.786001 0.817384
770 0.77 0.833622 0.768593
780 0.78 0.877515 0.739414
790 0.79 0.921677 0.756106
800 0.8 0.950911 0.813578
810 0.81 0.95531 0.892404
820 0.82 0.938034 0.985021
830 0.83 0.926139 1.06065
840 0.84 0.936809 1.0489
850 0.85 0.967775 0.972013
860 0.86 0.982261 0.942071
870 0.87 0.966595 1.01485
880 0.88 0.933172 1.17744
890 0.89 0.895964 1.2954
900 0.9 0.869756 1.3267
910 0.91 0.840524 1.37396
920 0.92 0.825038 1.38551
930 0.93 0.831688 1.43794
940 0.94 0.861371 1.58974
950 0.95 0.918245 1.67128
960 0.96 0.96086 1.72154
970 0.97 0.97072 1.76042
980 0.98 0.967387 1.73431
990 0.99 0.968574 1.6784
1000 1 0.977491 1.63043
1010 1.01 0.972819 1.59717
1020 1.02 0.957144 1.52461
1030 1.03 0.957052 1.36729
1040 1.04 0.964847 1.21338
1050 1.05 0.986242 1.05797
1060 1.06 1.01797 0.943377
1070 1.07 1.0487 0.930956
1080 1.08 1.08567 1.00724
1090 1.09 1.1261 1.10029
1100 1.1 1.16038 1.11265
1110 1.11 1.18894 1.00965
1120 1.12 1.22627 0.87407
1130 1.13 1.27411 0.794458
1140 1.14 1.31295 0.753656
1150 1.15 1.31472 0.75366
1160 1.16 1.27148 0.821003
1170 1.17 1.21211 0.929926
1180 1.18 1.17688 1.02658
1190 1.19 1.16833 1.096
1200 1.2 1.15893 1.12111
1210 1.21 1.13981 1.13488
1220 1.22 1.1246 1.15767
1230 1.23 1.12176 1.19504
1240 1.24 1.1218 1.2064
1250 1.25 1.12228 1.21032
1260 1.26 1.12888 1.28631
1270 1.27 1.12216 1.47214
1280 1.28 1.08821 1.67311
1290 1.29 1.04364 1.76211
1300 1.3 1.00247 1.62914
1310 1.31 0.96836 1.39008
1320 1.32 0.945417 1.19698
1330 1.33 0.912769 1.06803
1340 1.34 0.888775 0.955842
1350 1.35 0.877576 0.948563
1360 1.36 0.894179 1.01534
1370 1.37 0.943202 1.13827
1380 1.38 0.997089 1.25279
1390 1.39 1.0468 1.28281
1400 1.4 1.07856 1.27211
1410 1.41 1.1163 1.29309
1420 1.42 1.16671 1.3858
1430 1.43 1.18751 1.45568
