# Time-averaged data for fix 2
# TimeStep v_simtime c_msd_type1[1] c_msd_type1[3]
10 0.01 0.00689242 -0.0706055
20 0.02 0.0300858 -0.0182734
30 0.03 0.0347456 0.140429
40 0.04 0.0329574 0.153202
50 0.05 0.0405989 -0.0664956
60 0.06 0.0497441 -0.0492815
70 0.07 0.0608261 0.0510252
80 0.08 0.074417 0.0499502
90 0.09 0.0801488 0.2074
100 0.1 0.0818655 0.556043
110 0.11 0.0876738 1.04512
120 0.12 0.0979513 1.6954
130 0.13 0.114299 1.95402
140 0.14 0.13097 1.50204
150 0.15 0.141029 1.10287
160 0.16 0.145554 1.05895
170 0.17 0.149078 1.04904
180 0.18 0.150493 0.922896
190 0.19 0.148197 0.821192
200 0.2 0.146369 0.853245
210 0.21 0.142075 0.965763
220 0.22 0.136386 1.03317
230 0.23 0.132753 0.923815
240 0.24 0.127347 0.876314
250 0.25 0.117963 0.978031
260 0.26 0.105056 1.23131
270 0.27 0.0966946 1.32223
280 0.28 0.0940654 1.07455
290 0.29 0.091396 0.840489
300 0.3 0.0889623 0.673937
310 0.31 0.0856912 0.62464
320 0.32 0.0842164 0.567391
330 0.33 0.0857962 0.474338
340 0.34 0.0901637 0.6273
350 0.35 0.095031 0.915429
360 0.36 0.0988242 1.04161
370 0.37 0.105278 1.03315
380 0.38 0.113882 0.865688
390 0.39 0.117363 0.695964
400 0.4 0.111729 0.577397
410 0.41 0.0991145 0.376501
420 0.42 0.0867794 0.21665
430 0.43 0.0853041 0.17256
440 0.44 0.0885992 0.250569
450 0.45 0.0943461 0.501229
460 0.46 0.100316 0.677397
470 0.47 0.105955 0.918351
480 0.48 0.113898 0.96666
490 0.49 0.126606 0.824846
500 0.5 0.136602 0.847203
510 0.51 0.140609 0.858162
520 0.52 0.144716 0.592163
530 0.53 0.149826 0.283487
540 0.54 0.147053 0.260789
550 0.55 0.137827 0.308953
560 0.56 0.124122 0.321203
570 0.57 0.107574 0.37068
580 0.58 0.100201 0.416226
590 0.59 0.0968902 0.443529
600 0.6 0.0919675 0.681254
610 0.61 0.0984481 0.890061
620 0.62 0.116379 0.781364
630 0.63 0.136685 0.591056
640 0.64 0.140396 0.887154
650 0.65 0.137936 1.36236
660 0.66 0.148084 1.45322
670 0.67 0.16905 1.34609
680 0.68 0.194018 1.40635
690 0.69 0.213925 1.54821
700 0.7 0.219104 1.75155
710 0.71 0.210139 2.11095
720 0.72 0.189746 2.25651
730 0.73 0.167975 1.91998
740 0.74 0.151652 1.57059
750 0.75 0.138188 1.35422
760 0.76 0.12737 1.0681
770 0.77 0.125956 0.911347
780 0.78 0.131041 1.06593
790 0.79 0.135065 1.61869
800 0.8 0.141496 2.01172
810 0.81 0.147259 1.97179
820 0.82 0.138294 1.65857
830 0.83 0.133375 0.898665
840 0.84 0.134696 0.478714
850 0.85 0.126171 0.757984
860 0.86 0.118288 1.12757
870 0.87 0.117744 1.03083
880 0.88 0.117177 0.71171
890 0.89 0.117735 0.459714
900 0.9 0.12203 0.46545
910 0.91 0.126338 0.701072
920 0.92 0.125818 0.802953
930 0.93 0.125755 0.692139
940 0.94 0.135921 0.550279
950 0.95 0.145616 0.55198
960 0.96 0.15399 0.746686
970 0.97 0.166225 0.846849
980 0.98 0.169224 0.758798
990 0.99 0.160825 0.669703
1000 1 0.154166 0.707416
1010 1.01 0.154428 0.798135
1020 1.02 0.157265 0.935875
1030 1.03 0.157317 1.1405
1040 1.04 0.154366 1.27878
1050 1.05 0.152789 1.51104
1060 1.06 0.159412 1.74299
1070 1.07 0.176518 1.82378
1080 1.08 0.197016 1.93587
1090 1.09 0.218831 2.05764
1100 1.1 0.220492 1.93362
1110 1.11 0.203117 1.85814
1120 1.12 0.186963 1.98788
1130 1.13 0.174283 2.05664
1140 1.14 0.161158 2.13797
1150 1.15 0.149639 2.03863
1160 1.16 0.13922 1.71716
1170 1.17 0.125451 1.3414
1180 1.18 0.1066 1.0959
1190 1.19 0.0881711 0.920914
1200 1.2 0.0869207 0.496145
1210 1.21 0.0896223 0.349834
1220 1.22 0.0861053 0.426596
1230 1.23 0.0924204 0.289443
1240 1.24 0.101535 0.209988
1250 1.25 0.105129 0.340297
1260 1.26 0.106889 0.225182
1270 1.27 0.106688 0.0516154
1280 1.28 0.10223 0.0339232
1290 1.29 0.104442 0.0445038
1300 1.3 0.105232 0.0372297
1310 1.31 0.0989929 0.224247
1320 1.32 0.100716 0.469472
1330 1.33 0.111359 0.527772
1340 1.34 0.119268 0.489143
1350 1.35 0.126527 0.476693
1360 1.36 0.124246 0.601295
1370 1.37 0.116314 0.631603
1380 1.38 0.111876 0.388939
1390 1.39 0.107564 0.322226
1400 1.4 0.107518 0.376325
1410 1.41 0.104821 0.232271
1420 1.42 0.0983961 0.106293
1430 1.43 0.0980804 0.172801
1440 1.44 0.108899 0.224956
1450 1.45 0.11592 0.157211
1460 1.46 0.120723 0.156393
1470 1.47 0.122641 0.359419
1480 1.48 0.12955 0.746799
1490 1.49 0.138316 1.08475
1500 1.5 0.142326 1.1913
1510 1.51 0.138615 1.02005
1520 1.52 0.129708 1.20584
1530 1.53 0.126808 1.85745
1540 1.54 0.137599 2.07548
1550 1.55 0.147196 1.92235
1560 1.56 0.147607 1.84682
1570 1.57 0.149248 1.97258
1580 1.58 0.154417 2.21453
1590 1.59 0.157078 2.53734
1600 1.6 0.17204 2.34618
1610 1.61 0.192549 1.91156
1620 1.62 0.205737 1.64736
1630 1.63 0.210474 1.54421
1640 1.64 0.209224 1.45622
1650 1.65 0.211032 1.23284
1660 1.66 0.213236 0.958538
1670 1.67 0.21128 0.845736
1680 1.68 0.201452 0.871759
1690 1.69 0.183849 0.985855
1700 1.7 0.164362 1.18444
1710 1.71 0.152488 1.39388
1720 1.72 0.151102 1.47171
1730 1.73 0.165809 1.1774
1740 1.74 0.189645 0.8674
1750 1.75 0.20233 0.87027
1760 1.76 0.206987 0.938484
1770 1.77 0.214606 0.889107
1780 1.78 0.224919 0.87339
1790 1.79 0.239813 0.962601
1800 1.8 0.260734 1.02194
1810 1.81 0.286927 0.946682
1820 1.82 0.306107 0.829844
1830 1.83 0.313215 0.696603
1840 1.84 0.315485 0.659409
1850 1.85 0.318632 0.788948
1860 1.86 0.313577 1.06226
1870 1.87 0.306224 1.47127
1880 1.88 0.305208 1.83203
1890 1.89 0.308696 1.86863
1900 1.9 0.321682 1.60408
1910 1.91 0.345904 1.33488
1920 1.92 0.366002 1.19854
1930 1.93 0.376795 1.16555
1940 1.94 0.385105 1.19204
1950 1.95 0.390626 1.21386
1960 1.96 0.389254 1.25403
1970 1.97 0.387055 1.29141
1980 1.98 0.387955 1.33927
1990 1.99 0.382412 1.45868
2000 2 0.374847 1.51918
2010 2.01 0.381721 1.38158
2020 2.02 0.398371 1.30147
2030 2.03 0.410878 1.5458
2040 2.04 0.416066 1.9666
2050 2.05 0.421139 2.2108
2060 2.06 0.437584 2.06246
2070 2.07 0.465184 1.72891
2080 2.08 0.497093 1.53348
2090 2.09 0.529673 1.52613
2100 2.1 0.575233 1.51408
2110 2.11 0.628369 1.47543
2120 2.12 0.672012 1.49225
2130 2.13 0.713627 1.48534
2140 2.14 0.746578 1.47073
2150 2.15 0.748057 1.52477
2160 2.16 0.73397 1.60082
2170 2.17 0.723166 1.66611
2180 2.18 0.721241 1.72826
2190 2.19 0.730876 1.84128
2200 2.2 0.74982 1.98344
2210 2.21 0.772949 2.03315
2220 2.22 0.783083 1.97986
2230 2.23 0.776639 1.88685
2240 2.24 0.765129 1.78646
2250 2.25 0.76421 1.69311
2260 2.26 0.770965 1.66871
2270 2.27 0.780692 1.69168
2280 2.28 0.792079 1.70053
2290 2.29 0.795492 1.70476
2300 2.3 0.793006 1.66532
2310 2.31 0.788467 1.57993
2320 2.32 0.776787 1.50944
2330 2.33 0.760725 1.45068
2340 2.34 0.750651 1.40404
2350 2.35 0.745892 1.4371
2360 2.36 0.74157 1.59835
2370 2.37 0.739142 1.86177
2380 2.38 0.752948 2.02771
2390 2.39 0.77571 1.99898
2400 2.4 0.785491 1.87692
2410 2.41 0.779144 1.7291
2420 2.42 0.759353 1.62709
2430 2.43 0.731965 1.59349
2440 2.44 0.700359 1.60633
2450 2.45 0.672007 1.68161
2460 2.46 0.653242 1.81284
2470 2.47 0.644382 1.93832
2480 2.48 0.641862 2.01807
2490 2.49 0.641885 2.08188
2500 2.5 0.64489 2.11416
2510 2.51 0.642046 2.14596
2520 2.52 0.638193 2.14632
2530 2.53 0.636372 2.12855
2540 2.54 0.628061 2.17523
2550 2.55 0.615613 2.29918
2560 2.56 0.606865 2.37833
2570 2.57 0.602681 2.34651
2580 2.58 0.597078 2.27794
2590 2.59 0.589159 2.23145
2600 2.6 0.583338 2.20267
2610 2.61 0.580585 2.12117
2620 2.62 0.575889 2.00636
2630 2.63 0.578313 1.87464
2640 2.64 0.591887 1.75913
2650 2.65 0.610741 1.67232
2660 2.66 0.623727 1.63411
2670 2.67 0.632479 1.59661
2680 2.68 0.633694 1.59024
2690 2.69 0.625938 1.64122
2700 2.7 0.617765 1.74476
2710 2.71 0.62941 1.84095
2720 2.72 0.663987 1.8701
2730 2.73 0.694125 1.85101
2740 2.74 0.698885 1.80109
2750 2.75 0.681038 1.75144
2760 2.76 0.664447 1.67577
2770 2.77 0.659416 1.60009
2780 2.78 0.651846 1.59735
2790 2.79 0.640892 1.64187
2800 2.8 0.635357 1.64227
2810 2.81 0.624088 1.64202
2820 2.82 0.604584 1.71988
2830 2.83 0.592459 1.86167
2840 2.84 0.591427 1.98321
2850 2.85 0.595836 1.99225
2860 2.86 0.58957 1.99423
2870 2.87 0.573654 2.14629
2880 2.88 0.565938 2.45211
2890 2.89 0.580528 2.63797
2900 2.9 0.611704 2.57952
2910 2.91 0.644055 2.40061
2920 2.92 0.657961 2.27867
2930 2.93 0.655917 2.22246
2940 2.94 0.655406 2.11318
2950 2.95 0.664592 1.86935
2960 2.96 0.666994 1.64845
2970 2.97 0.642965 1.53838
2980 2.98 0.601858 1.52528
2990 2.99 0.559922 1.58984
3000 3 0.523391 1.66459
3010 3.01 0.497017 1.65825
3020 3.02 0.485871 1.5853
3030 3.03 0.487473 1.53102
3040 3.04 0.485517 1.47704
3050 3.05 0.478705 1.36075
3060 3.06 0.46639 1.20718
3070 3.07 0.447009 1.12601
3080 3.08 0.43966 1.07126
3090 3.09 0.450294 0.975553
3100 3.1 0.474434 0.8908
3110 3.11 0.500279 0.902109
3120 3.12 0.518613 1.00561
3130 3.13 0.529366 1.11461
3140 3.14 0.533737 1.17565
3150 3.15 0.531321 1.26613
3160 3.16 0.530858 1.39656
3170 3.17 0.540187 1.45887
3180 3.18 0.549023 1.47188
3190 3.19 0.556221 1.4668
3200 3.2 0.562735 1.37999
3210 3.21 0.555439 1.35076
3220 3.22 0.542772 1.41885
3230 3.23 0.534369 1.48685
3240 3.24 0.522399 1.51722
3250 3.25 0.503905 1.49934
3260 3.26 0.49071 1.37811
3270 3.27 0.484548 1.25296
3280 3.28 0.485676 1.23106
3290 3.29 0.497361 1.26771
3300 3.3 0.509534 1.23916
3310 3.31 0.515164 1.13543
3320 3.32 0.523273 1.03856
3330 3.33 0.535072 1.05417
3340 3.34 0.558426 1.07505
3350 3.35 0.594097 1.02852
3360 3.36 0.633597 0.996509
3370 3.37 0.667892 1.04561
3380 3.38 0.688941 1.11352
3390 3.39 0.69126 1.13293
3400 3.4 0.691245 1.14683
3410 3.41 0.699689 1.15045
3420 3.42 0.700795 1.18706
3430 3.43 0.693403 1.26189
3440 3.44 0.690024 1.3119
3450 3.45 0.695351 1.31614
3460 3.46 0.695427 1.31057
3470 3.47 0.678848 1.28899
3480 3.48 0.655265 1.20792
3490 3.49 0.629884 1.09244
3500 3.5 0.606653 0.999488
3510 3.51 0.584046 1.01496
3520 3.52 0.565909 1.12412
3530 3.53 0.566222 1.25582
3540 3.54 0.582069 1.41158
3550 3.55 0.598027 1.53871
3560 3.56 0.605529 1.62291
3570 3.57 0.599491 1.70546
3580 3.58 0.585172 1.7532
3590 3.59 0.559777 1.76832
3600 3.6 0.535103 1.71409
3610 3.61 0.521116 1.59368
3620 3.62 0.510301 1.54638
3630 3.63 0.506104 1.55584
3640 3.64 0.511135 1.5944
3650 3.65 0.524079 1.68186
3660 3.66 0.536206 1.8261
3670 3.67 0.541725 1.97642
3680 3.68 0.546435 2.02672
3690 3.69 0.54886 1.9154
3700 3.7 0.54123 1.76642
3710 3.71 0.529723 1.59336
3720 3.72 0.519152 1.4164
3730 3.73 0.512163 1.28525
3740 3.74 0.514411 1.21362
3750 3.75 0.531985 1.17616
3760 3.76 0.551736 1.21593
3770 3.77 0.558486 1.35262
3780 3.78 0.556817 1.46706
3790 3.79 0.549861 1.48133
3800 3.8 0.548247 1.38586
3810 3.81 0.549104 1.22946
3820 3.82 0.558228 1.11509
3830 3.83 0.579955 1.12539
3840 3.84 0.602119 1.2242
3850 3.85 0.61689 1.28682
3860 3.86 0.610421 1.3247
3870 3.87 0.58993 1.3303
3880 3.88 0.580286 1.22515
3890 3.89 0.585142 1.06202
3900 3.9 0.601037 0.929489
3910 3.91 0.616883 0.8237
3920 3.92 0.607645 0.848234
3930 3.93 0.573939 1.01856
3940 3.94 0.545645 1.10874
3950 3.95 0.525193 1.11484
3960 3.96 0.518847 1.1327
3970 3.97 0.536006 1.11663
3980 3.98 0.563205 1.10577
3990 3.99 0.584558 1.16002
4000 4 0.610322 1.14887
4010 4.01 0.635026 1.10622
4020 4.02 0.652742 1.08267
4030 4.03 0.664635 1.03708
4040 4.04 0.668116 0.991027
4050 4.05 0.650579 1.00553
4060 4.06 0.633269 1.08034
4070 4.07 0.61879 1.18374
4080 4.08 0.592562 1.27181
4090 4.09 0.553963 1.33278
4100 4.1 0.508274 1.30597
4110 4.11 0.479169 1.13468
4120 4.12 0.463629 1.03038
4130 4.13 0.466784 1.01322
4140 4.14 0.479974 1.02572
4150 4.15 0.481874 1.12778
4160 4.16 0.47087 1.26909
4170 4.17 0.454563 1.44616
4180 4.18 0.439205 1.62675
4190 4.19 0.431727 1.66695
4200 4.2 0.42917 1.59503
4210 4.21 0.431422 1.51999
4220 4.22 0.437725 1.43689
4230 4.23 0.443257 1.40137
4240 4.24 0.444924 1.47706
4250 4.25 0.432158 1.65398
4260 4.26 0.412036 1.8433
4270 4.27 0.40359 1.89759
4280 4.28 0.404625 1.84564
4290 4.29 0.408203 1.71618
4300 4.3 0.414252 1.52768
4310 4.31 0.4173 1.31546
4320 4.32 0.428194 1.14554
4330 4.33 0.453603 1.02445
4340 4.34 0.482445 0.941434
4350 4.35 0.504726 0.908039
4360 4.36 0.509009 0.979338
4370 4.37 0.502106 1.06025
4380 4.38 0.485753 1.07154
4390 4.39 0.472672 1.09414
4400 4.4 0.466482 1.18033
4410 4.41 0.465054 1.2273
4420 4.42 0.475095 1.17618
4430 4.43 0.484558 1.12404
4440 4.44 0.477121 1.11092
4450 4.45 0.460861 1.15234
4460 4.46 0.446195 1.25055
4470 4.47 0.44748 1.25412
4480 4.48 0.46494 1.15536
4490 4.49 0.496642 1.08973
4500 4.5 0.536212 1.09913
4510 4.51 0.573321 1.10862
4520 4.52 0.596509 1.06486
4530 4.53 0.610134 1.01276
4540 4.54 0.606421 1.02589
4550 4.55 0.592684 1.1039
4560 4.56 0.57813 1.15868
4570 4.57 0.555809 1.14737
4580 4.58 0.52972 1.09273
4590 4.59 0.505786 1.05747
4600 4.6 0.491588 1.04338
4610 4.61 0.49395 0.975092
4620 4.62 0.511831 0.921295
4630 4.63 0.541436 1.00856
4640 4.64 0.575727 1.21321
4650 4.65 0.608288 1.48583
4660 4.66 0.629033 1.70151
4670 4.67 0.634869 1.73124
