# Time-averaged data for fix 2
# TimeStep v_simtime c_msd_type1[1] c_msd_type1[3]
10 0.01 0.00480456 -0.0738379
20 0.02 0.0392867 -0.0351106
30 0.03 0.0526633 0.107915
40 0.04 0.0495556 0.19646
50 0.05 0.0596757 -0.044356
60 0.06 0.0761566 -0.052172
70 0.07 0.0938209 0.0660777
80 0.08 0.11568 0.0877066
90 0.09 0.129651 0.247075
100 0.1 0.136643 0.709721
110 0.11 0.149245 1.2211
120 0.12 0.163098 1.30128
130 0.13 0.181375 0.897934
140 0.14 0.207013 0.588698
150 0.15 0.223612 0.531042
160 0.16 0.226556 0.560524
170 0.17 0.231033 0.564085
180 0.18 0.234543 0.550054
190 0.19 0.235101 0.533421
200 0.2 0.233883 0.505694
210 0.21 0.228482 0.448073
220 0.22 0.225533 0.397324
230 0.23 0.224342 0.346737
240 0.24 0.220979 0.359157
250 0.25 0.210245 0.500077
260 0.26 0.189833 0.763715
270 0.27 0.176403 0.948171
280 0.28 0.16866 0.923469
290 0.29 0.159104 0.89391
300 0.3 0.153134 0.703466
310 0.31 0.151582 0.541836
320 0.32 0.149815 0.502107
330 0.33 0.149164 0.538829
340 0.34 0.150121 0.701379
350 0.35 0.155956 0.909439
360 0.36 0.162915 1.03146
370 0.37 0.173092 0.825137
380 0.38 0.179105 0.483522
390 0.39 0.172552 0.295567
400 0.4 0.174918 0.137833
410 0.41 0.173873 0.126374
420 0.42 0.16733 0.357163
430 0.43 0.165228 0.671103
440 0.44 0.168427 0.668925
450 0.45 0.171478 0.568882
460 0.46 0.172815 0.529433
470 0.47 0.181779 0.547272
480 0.48 0.191212 0.818751
490 0.49 0.210199 1.38524
500 0.5 0.241359 1.53802
510 0.51 0.248857 1.43661
520 0.52 0.246205 1.53129
530 0.53 0.246539 1.75384
540 0.54 0.251607 2.03379
550 0.55 0.260596 2.1141
560 0.56 0.257832 2.36773
570 0.57 0.263357 2.63091
580 0.58 0.272957 2.76143
590 0.59 0.276795 2.70516
600 0.6 0.289548 2.12494
610 0.61 0.301729 1.678
620 0.62 0.312639 1.58267
630 0.63 0.317146 1.7491
640 0.64 0.321105 2.28377
650 0.65 0.328117 2.95354
660 0.66 0.327113 3.03095
670 0.67 0.310656 2.68463
680 0.68 0.292434 2.33202
690 0.69 0.281488 2.3271
700 0.7 0.293286 2.47766
710 0.71 0.322041 2.28781
720 0.72 0.35146 1.82098
730 0.73 0.380033 1.40681
740 0.74 0.383215 1.37802
750 0.75 0.368391 1.67019
760 0.76 0.359934 2.0196
770 0.77 0.363188 2.02554
780 0.78 0.359644 1.87066
790 0.79 0.346043 1.80813
800 0.8 0.34613 1.81758
810 0.81 0.349396 1.76987
820 0.82 0.344473 1.67876
830 0.83 0.350483 1.57614
840 0.84 0.374417 1.38765
850 0.85 0.395517 1.17907
860 0.86 0.391305 1.09641
870 0.87 0.373205 1.22924
880 0.88 0.36185 1.46385
890 0.89 0.353484 1.75323
900 0.9 0.341099 2.13746
910 0.91 0.339486 2.35919
920 0.92 0.355977 2.25477
930 0.93 0.380837 2.06001
940 0.94 0.391738 1.98098
950 0.95 0.384652 1.8442
960 0.96 0.374835 1.58924
970 0.97 0.366998 1.48019
980 0.98 0.373081 1.55043
990 0.99 0.391695 1.79733
1000 1 0.410559 2.08435
1010 1.01 0.427798 2.09532
1020 1.02 0.429471 1.96179
1030 1.03 0.421532 1.85018
1040 1.04 0.420651 1.75887
1050 1.05 0.43061 1.608
1060 1.06 0.442509 1.40096
1070 1.07 0.447345 1.21733
1080 1.08 0.456834 1.01844
1090 1.09 0.473548 0.898554
1100 1.1 0.495233 0.975377
1110 1.11 0.537898 1.06189
1120 1.12 0.600273 1.08964
1130 1.13 0.6695 1.08501
1140 1.14 0.737122 1.11049
1150 1.15 0.78145 1.15841
1160 1.16 0.795255 1.2171
1170 1.17 0.786504 1.26764
1180 1.18 0.762445 1.19567
1190 1.19 0.738576 1.10269
1200 1.2 0.729942 1.04627
1210 1.21 0.734213 0.978832
1220 1.22 0.744966 0.908245
1230 1.23 0.751312 0.919813
1240 1.24 0.748173 1.0343
1250 1.25 0.750114 1.09258
1260 1.26 0.745301 1.04346
1270 1.27 0.720713 0.951517
1280 1.28 0.69106 0.933183
1290 1.29 0.659889 1.03217
1300 1.3 0.626607 1.1256
1310 1.31 0.60784 1.15444
1320 1.32 0.612387 1.11319
1330 1.33 0.628405 1.09515
1340 1.34 0.652277 1.16679
1350 1.35 0.699235 1.21747
1360 1.36 0.753486 1.16155
1370 1.37 0.776505 1.08162
1380 1.38 0.764716 1.05001
1390 1.39 0.732462 1.1422
