# Time-averaged data for fix 2
# TimeStep v_simtime c_msd_type1[1] c_msd_type1[3]
10 0.01 0.0134353 -0.0646756
20 0.02 0.0382785 0.00390804
30 0.03 0.0396062 0.181979
40 0.04 0.0397194 0.101696
50 0.05 0.05032 -0.0827615
60 0.06 0.0616073 -0.0141768
70 0.07 0.0762184 0.0629819
80 0.08 0.0916004 0.0821864
90 0.09 0.0972284 0.314765
100 0.1 0.101503 0.756675
110 0.11 0.111582 1.34924
120 0.12 0.125882 1.76114
130 0.13 0.142942 1.39562
140 0.14 0.159324 0.901525
150 0.15 0.167807 0.798098
160 0.16 0.169557 0.828932
170 0.17 0.171663 0.770059
180 0.18 0.171662 0.649174
190 0.19 0.170417 0.595943
200 0.2 0.169079 0.660568
210 0.21 0.161731 0.768764
220 0.22 0.154563 0.77994
230 0.23 0.148526 0.722941
240 0.24 0.140908 0.768339
250 0.25 0.129578 0.888408
260 0.26 0.117414 1.02139
270 0.27 0.110259 0.99512
280 0.28 0.10638 0.81875
290 0.29 0.103157 0.651094
300 0.3 0.0993275 0.5481
310 0.31 0.0951551 0.546615
320 0.32 0.0933285 0.504208
330 0.33 0.090804 0.458865
340 0.34 0.0917054 0.618598
350 0.35 0.0963904 0.863453
360 0.36 0.103012 1.09241
370 0.37 0.115209 1.09798
380 0.38 0.126255 0.850102
390 0.39 0.131626 0.650925
400 0.4 0.129228 0.456396
410 0.41 0.118006 0.399596
420 0.42 0.107288 0.530334
430 0.43 0.110346 0.433019
440 0.44 0.121779 0.350107
450 0.45 0.129956 0.494593
460 0.46 0.13599 0.749189
470 0.47 0.142686 1.0678
480 0.48 0.157147 1.11153
490 0.49 0.175855 0.979375
500 0.5 0.184253 1.03136
510 0.51 0.180574 1.24608
520 0.52 0.174374 1.27241
530 0.53 0.17349 0.966704
540 0.54 0.175607 0.629894
550 0.55 0.176076 0.537827
560 0.56 0.174826 0.567926
570 0.57 0.181428 0.679247
580 0.58 0.193177 0.836034
590 0.59 0.202477 0.751796
600 0.6 0.21223 0.740653
610 0.61 0.21659 0.720912
620 0.62 0.210945 0.626578
630 0.63 0.202608 0.545361
640 0.64 0.189767 0.493844
650 0.65 0.18481 0.591036
660 0.66 0.20007 0.828775
670 0.67 0.211054 1.10588
680 0.68 0.211664 1.31131
690 0.69 0.211664 1.20931
700 0.7 0.20466 1.22398
710 0.71 0.198799 1.55713
720 0.72 0.199512 1.81953
730 0.73 0.186899 1.76137
740 0.74 0.172818 1.35456
750 0.75 0.168584 0.916237
760 0.76 0.161689 0.66758
770 0.77 0.145713 0.48639
780 0.78 0.134421 0.410896
790 0.79 0.141231 0.677071
800 0.8 0.157514 0.986207
810 0.81 0.162905 1.00277
820 0.82 0.160125 0.949751
830 0.83 0.148894 0.92905
840 0.84 0.135887 0.78878
850 0.85 0.122556 0.591948
860 0.86 0.112833 0.515587
870 0.87 0.121652 0.474849
880 0.88 0.138639 0.433837
890 0.89 0.146115 0.505276
900 0.9 0.14609 0.798575
910 0.91 0.156681 1.02937
920 0.92 0.175056 1.00425
930 0.93 0.189167 0.925929
940 0.94 0.192736 0.887081
950 0.95 0.192862 0.807458
960 0.96 0.201151 0.730615
970 0.97 0.217438 0.814138
980 0.98 0.240882 0.952523
990 0.99 0.271457 1.00137
1000 1 0.286726 1.06746
1010 1.01 0.279557 1.12244
1020 1.02 0.268385 1.09268
1030 1.03 0.266559 0.995377
1040 1.04 0.261658 0.976174
1050 1.05 0.257379 1.05013
1060 1.06 0.263039 1.02654
1070 1.07 0.266766 1.00811
1080 1.08 0.274229 1.25929
1090 1.09 0.287176 1.80799
1100 1.1 0.290767 2.29824
1110 1.11 0.283659 2.59517
1120 1.12 0.273998 2.74837
1130 1.13 0.255029 3.16374
1140 1.14 0.232286 3.85827
1150 1.15 0.227227 4.34118
1160 1.16 0.241751 4.59792
1170 1.17 0.264498 4.66602
1180 1.18 0.286196 4.19919
1190 1.19 0.297373 3.24808
1200 1.2 0.296293 2.29756
1210 1.21 0.290916 1.71764
1220 1.22 0.284558 1.59683
1230 1.23 0.27957 1.83336
1240 1.24 0.275085 2.40868
1250 1.25 0.273561 3.08934
1260 1.26 0.266513 3.53626
1270 1.27 0.255652 3.89849
1280 1.28 0.247433 4.36393
1290 1.29 0.242849 4.30538
1300 1.3 0.236032 3.78084
1310 1.31 0.219104 3.27156
1320 1.32 0.20514 2.80335
1330 1.33 0.205998 2.60702
1340 1.34 0.219149 2.64491
1350 1.35 0.220339 2.53602
1360 1.36 0.213135 2.13486
1370 1.37 0.207174 1.96694
1380 1.38 0.21624 1.9029
1390 1.39 0.238543 1.79113
1400 1.4 0.262162 1.90643
1410 1.41 0.285973 2.24786
1420 1.42 0.306386 2.57318
1430 1.43 0.316535 2.68519
1440 1.44 0.317863 2.52728
1450 1.45 0.317514 2.23773
1460 1.46 0.325328 2.02967
1470 1.47 0.349214 1.9125
1480 1.48 0.380199 1.87476
1490 1.49 0.403002 1.88474
1500 1.5 0.413406 1.98864
1510 1.51 0.421985 2.16681
1520 1.52 0.437312 2.27879
1530 1.53 0.45294 2.33565
1540 1.54 0.467903 2.27424
1550 1.55 0.477435 2.0885
1560 1.56 0.485486 1.94698
1570 1.57 0.51691 1.9468
1580 1.58 0.558578 2.08151
1590 1.59 0.590442 2.01772
1600 1.6 0.600368 1.75988
1610 1.61 0.585616 1.57229
1620 1.62 0.578234 1.49064
1630 1.63 0.58966 1.5095
1640 1.64 0.617859 1.57443
1650 1.65 0.657243 1.58837
1660 1.66 0.689012 1.56065
1670 1.67 0.704283 1.52227
1680 1.68 0.708791 1.41195
1690 1.69 0.718155 1.25475
1700 1.7 0.72226 1.14748
1710 1.71 0.719028 1.03668
1720 1.72 0.716905 0.895435
1730 1.73 0.721064 0.831484
1740 1.74 0.737475 0.853465
1750 1.75 0.772012 0.913592
1760 1.76 0.798665 0.995746
1770 1.77 0.803066 1.00617
1780 1.78 0.810479 0.905738
1790 1.79 0.820388 0.855412
1800 1.8 0.831282 0.896019
1810 1.81 0.842838 0.974834
1820 1.82 0.849141 1.03997
1830 1.83 0.837423 1.08736
1840 1.84 0.811854 1.10732
1850 1.85 0.783414 1.08679
1860 1.86 0.757109 1.09931
1870 1.87 0.743171 1.19798
1880 1.88 0.733749 1.30893
1890 1.89 0.708007 1.38584
1900 1.9 0.674175 1.38728
1910 1.91 0.654315 1.31969
1920 1.92 0.665534 1.25277
1930 1.93 0.685789 1.29078
1940 1.94 0.691895 1.41613
1950 1.95 0.677654 1.48586
1960 1.96 0.653753 1.35903
1970 1.97 0.62403 1.23109
1980 1.98 0.604956 1.21158
1990 1.99 0.606442 1.17703
2000 2 0.612812 1.11125
2010 2.01 0.621898 1.0585
2020 2.02 0.630786 1.04276
2030 2.03 0.644682 1.09828
2040 2.04 0.666699 1.22148
2050 2.05 0.688698 1.28534
2060 2.06 0.710408 1.32131
2070 2.07 0.738617 1.45375
2080 2.08 0.774513 1.66435
2090 2.09 0.799871 1.90424
2100 2.1 0.807772 1.9587
2110 2.11 0.790753 1.81421
2120 2.12 0.75716 1.699
2130 2.13 0.732929 1.6568
2140 2.14 0.722687 1.63606
2150 2.15 0.721762 1.66173
2160 2.16 0.732637 1.65678
2170 2.17 0.752713 1.59312
2180 2.18 0.77517 1.55448
2190 2.19 0.79734 1.58425
2200 2.2 0.824933 1.63374
2210 2.21 0.860821 1.65913
2220 2.22 0.885432 1.68894
2230 2.23 0.885904 1.73165
2240 2.24 0.88276 1.73764
2250 2.25 0.892871 1.67994
2260 2.26 0.899622 1.64151
2270 2.27 0.90402 1.62585
2280 2.28 0.913508 1.54734
2290 2.29 0.924508 1.42016
2300 2.3 0.93737 1.33398
2310 2.31 0.960027 1.31726
2320 2.32 0.980704 1.33212
2330 2.33 0.984733 1.33418
2340 2.34 0.954603 1.33796
2350 2.35 0.909913 1.39345
2360 2.36 0.886486 1.42214
2370 2.37 0.878143 1.34787
2380 2.38 0.873427 1.28686
2390 2.39 0.885872 1.28524
2400 2.4 0.909335 1.28007
2410 2.41 0.938633 1.29569
2420 2.42 0.971604 1.39432
2430 2.43 1.00377 1.49498
2440 2.44 1.01762 1.53326
2450 2.45 1.00107 1.48535
2460 2.46 0.969405 1.41487
2470 2.47 0.942683 1.39182
2480 2.48 0.928408 1.41582
2490 2.49 0.929416 1.45267
2500 2.5 0.924653 1.47476
2510 2.51 0.909889 1.39935
2520 2.52 0.896452 1.28084
2530 2.53 0.900876 1.22477
2540 2.54 0.904808 1.26703
