# Time-averaged data for fix 2
# TimeStep v_simtime c_msd_type1[1] c_msd_type1[3]
1910 1.91 0.32236 1.75817
1920 1.92 0.327767 2.13054
1930 1.93 0.322547 2.44021
1940 1.94 0.321285 2.29542
1950 1.95 0.315855 1.92324
1960 1.96 0.29778 1.7309
1970 1.97 0.273855 1.90816
1980 1.98 0.260546 2.10217
1990 1.99 0.278636 1.90797
2000 2 0.300242 1.76658
2010 2.01 0.308753 1.6686
2020 2.02 0.314251 1.5597
2030 2.03 0.321629 1.2693
2040 2.04 0.329552 0.982449
2050 2.05 0.333505 0.850027
2060 2.06 0.333167 0.795073
2070 2.07 0.329091 0.851431
2080 2.08 0.332369 0.978902
2090 2.09 0.347061 1.0063
2100 2.1 0.352982 0.941057
2110 2.11 0.342676 0.789768
2120 2.12 0.332037 0.727238
2130 2.13 0.330216 0.821948
2140 2.14 0.332301 1.00525
2150 2.15 0.347008 1.19599
2160 2.16 0.36641 1.41775
2170 2.17 0.368495 1.67505
2180 2.18 0.361556 1.85158
2190 2.19 0.361095 1.98264
2200 2.2 0.370232 2.08844
2210 2.21 0.378305 2.3387
2220 2.22 0.393425 2.39459
2230 2.23 0.409834 2.27792
2240 2.24 0.4197 2.2901
2250 2.25 0.434133 2.24944
2260 2.26 0.463738 2.12247
2270 2.27 0.511082 1.97136
2280 2.28 0.553107 1.93204
2290 2.29 0.577374 2.06703
2300 2.3 0.594003 2.20142
2310 2.31 0.609601 2.20278
2320 2.32 0.618786 2.05642
2330 2.33 0.624665 1.85116
2340 2.34 0.640861 1.73754
2350 2.35 0.667048 1.73935
2360 2.36 0.69115 1.83695
2370 2.37 0.723777 1.89392
2380 2.38 0.762827 1.7945
2390 2.39 0.797389 1.62499
2400 2.4 0.817663 1.54403
2410 2.41 0.827127 1.50003
2420 2.42 0.830525 1.45545
2430 2.43 0.826653 1.48422
2440 2.44 0.826141 1.60503
2450 2.45 0.839623 1.70138
2460 2.46 0.857241 1.75519
2470 2.47 0.865153 1.74856
2480 2.48 0.857493 1.66466
2490 2.49 0.83463 1.68988
2500 2.5 0.819822 1.86739
2510 2.51 0.832682 2.03074
2520 2.52 0.857322 2.09717
2530 2.53 0.87139 2.09739
2540 2.54 0.862281 2.13542
2550 2.55 0.830154 2.27025
2560 2.56 0.807308 2.51603
2570 2.57 0.813575 2.74124
2580 2.58 0.841159 2.77666
2590 2.59 0.86538 2.66847
2600 2.6 0.863592 2.49724
2610 2.61 0.837127 2.37652
2620 2.62 0.798621 2.42056
2630 2.63 0.75283 2.54043
2640 2.64 0.70792 2.61581
2650 2.65 0.677363 2.63806
2660 2.66 0.669854 2.65514
2670 2.67 0.673211 2.74813
2680 2.68 0.679299 2.83828
2690 2.69 0.670553 2.81012
2700 2.7 0.660128 2.73428
2710 2.71 0.664376 2.72267
2720 2.72 0.681359 2.70849
2730 2.73 0.703279 2.64094
2740 2.74 0.715032 2.66898
2750 2.75 0.713597 2.73022
2760 2.76 0.721993 2.67191
2770 2.77 0.749645 2.59679
2780 2.78 0.779889 2.56105
2790 2.79 0.80702 2.50431
2800 2.8 0.832249 2.42082
2810 2.81 0.847423 2.41993
2820 2.82 0.862506 2.4476
2830 2.83 0.879233 2.46954
2840 2.84 0.885081 2.44366
2850 2.85 0.88594 2.34766
2860 2.86 0.888149 2.18269
2870 2.87 0.891785 2.00346
2880 2.88 0.909953 1.81776
2890 2.89 0.940415 1.71086
2900 2.9 0.973025 1.67914
2910 2.91 1.00931 1.64285
2920 2.92 1.04813 1.60366
2930 2.93 1.08705 1.56036
2940 2.94 1.12456 1.55237
2950 2.95 1.15881 1.6036
2960 2.96 1.18497 1.67828
2970 2.97 1.2017 1.70101
2980 2.98 1.21992 1.64239
2990 2.99 1.26302 1.55181
3000 3 1.30418 1.54102
3010 3.01 1.34374 1.63034
3020 3.02 1.38293 1.77508
3030 3.03 1.41799 1.81827
3040 3.04 1.44965 1.80886
3050 3.05 1.4706 1.79053
3060 3.06 1.46901 1.81047
3070 3.07 1.46139 1.84628
3080 3.08 1.45779 1.855
3090 3.09 1.47965 1.81284
3100 3.1 1.52421 1.73657
3110 3.11 1.546 1.68351
3120 3.12 1.52594 1.62968
3130 3.13 1.45968 1.58829
3140 3.14 1.37558 1.53761
3150 3.15 1.3068 1.47754
3160 3.16 1.24931 1.45505
3170 3.17 1.19642 1.40111
3180 3.18 1.14769 1.29635
3190 3.19 1.12046 1.19684
3200 3.2 1.11991 1.14913
3210 3.21 1.13256 1.14113
3220 3.22 1.15051 1.13688
3230 3.23 1.16195 1.11647
3240 3.24 1.17167 1.03122
3250 3.25 1.20037 0.92772
3260 3.26 1.2481 0.853788
3270 3.27 1.28584 0.80786
3280 3.28 1.29631 0.815713
3290 3.29 1.28822 0.855142
3300 3.3 1.28152 0.866957
3310 3.31 1.27234 0.871777
3320 3.32 1.27298 0.918001
3330 3.33 1.30529 0.977147
3340 3.34 1.35387 1.03947
3350 3.35 1.39173 1.10211
3360 3.36 1.41088 1.15771
3370 3.37 1.43335 1.15228
3380 3.38 1.4645 1.12765
3390 3.39 1.49354 1.11404
3400 3.4 1.51023 1.10801
3410 3.41 1.50233 1.14025
3420 3.42 1.48243 1.18408
3430 3.43 1.46815 1.23292
3440 3.44 1.45655 1.29105
3450 3.45 1.4454 1.35901
3460 3.46 1.44374 1.39488
3470 3.47 1.45423 1.36036
3480 3.48 1.46244 1.26263
3490 3.49 1.44608 1.1912
3500 3.5 1.40037 1.20687
3510 3.51 1.37371 1.18501
3520 3.52 1.38136 1.09024
3530 3.53 1.40732 1.007
3540 3.54 1.44541 0.941741
3550 3.55 1.48045 0.897252
3560 3.56 1.50519 0.88478
3570 3.57 1.52376 0.851264
3580 3.58 1.53425 0.815495
3590 3.59 1.51714 0.831944
3600 3.6 1.48984 0.888744
3610 3.61 1.47576 0.917269
3620 3.62 1.4792 0.896872
3630 3.63 1.49834 0.848767
3640 3.64 1.50051 0.783637
3650 3.65 1.48543 0.743597
3660 3.66 1.49134 0.721746
3670 3.67 1.53312 0.68808
3680 3.68 1.58389 0.679854
3690 3.69 1.61682 0.714702
3700 3.7 1.61107 0.739609
3710 3.71 1.5932 0.751392
3720 3.72 1.57811 0.787673
3730 3.73 1.57628 0.842653
3740 3.74 1.60658 0.892939
3750 3.75 1.63237 0.93898
3760 3.76 1.63616 0.952503
3770 3.77 1.63653 0.962917
3780 3.78 1.61445 0.988123
3790 3.79 1.5533 0.994175
3800 3.8 1.49418 1.00292
3810 3.81 1.46607 1.02406
3820 3.82 1.45153 1.04677
3830 3.83 1.44918 1.06954
3840 3.84 1.45119 1.10512
3850 3.85 1.44559 1.14906
3860 3.86 1.4258 1.15939
3870 3.87 1.39157 1.12795
3880 3.88 1.3732 1.04126
3890 3.89 1.37479 0.928904
3900 3.9 1.36834 0.855513
3910 3.91 1.35913 0.815817
3920 3.92 1.35889 0.784115
3930 3.93 1.36152 0.768155
3940 3.94 1.35848 0.75948
3950 3.95 1.36314 0.741259
3960 3.96 1.4003 0.717678
3970 3.97 1.4514 0.721505
3980 3.98 1.47707 0.773691
3990 3.99 1.46905 0.867103
4000 4 1.45685 0.945819
4010 4.01 1.44608 0.966624
4020 4.02 1.42735 0.946312
4030 4.03 1.37989 0.936192
4040 4.04 1.32038 0.960341
4050 4.05 1.28887 0.996986
4060 4.06 1.28489 1.0072
4070 4.07 1.29561 0.966438
4080 4.08 1.3068 0.893361
4090 4.09 1.31392 0.824216
4100 4.1 1.32526 0.799251
4110 4.11 1.34609 0.806436
4120 4.12 1.37722 0.839404
4130 4.13 1.41474 0.884659
4140 4.14 1.47249 0.919715
4150 4.15 1.54697 0.949906
4160 4.16 1.60114 0.968103
4170 4.17 1.62639 1.01266
4180 4.18 1.63778 1.06836
4190 4.19 1.63525 1.11662
4200 4.2 1.63248 1.16789
4210 4.21 1.63146 1.16903
4220 4.22 1.63403 1.10464
4230 4.23 1.64849 1.03013
4240 4.24 1.67869 0.963535
4250 4.25 1.72935 0.909088
4260 4.26 1.7885 0.90495
4270 4.27 1.84629 0.91537
4280 4.28 1.8732 0.923384
4290 4.29 1.88017 0.943896
4300 4.3 1.88393 0.985087
4310 4.31 1.88288 1.04328
4320 4.32 1.88741 1.0872
4330 4.33 1.88874 1.11311
4340 4.34 1.88127 1.11309
4350 4.35 1.84739 1.11246
4360 4.36 1.79441 1.12777
4370 4.37 1.74467 1.12343
4380 4.38 1.68754 1.08776
4390 4.39 1.61699 1.00749
4400 4.4 1.55926 0.90074
4410 4.41 1.51934 0.802849
4420 4.42 1.50008 0.741842
4430 4.43 1.50829 0.731691
4440 4.44 1.53419 0.739861
4450 4.45 1.58381 0.719811
4460 4.46 1.6581 0.692627
4470 4.47 1.72709 0.690565
4480 4.48 1.77071 0.727644
4490 4.49 1.80349 0.788095
4500 4.5 1.84212 0.808366
4510 4.51 1.886 0.788433
4520 4.52 1.92068 0.780453
4530 4.53 1.94623 0.770081
4540 4.54 1.92507 0.744469
4550 4.55 1.84377 0.709201
4560 4.56 1.74111 0.683369
4570 4.57 1.66113 0.695501
4580 4.58 1.61664 0.734421
4590 4.59 1.59812 0.757241
4600 4.6 1.60668 0.739638
4610 4.61 1.63 0.71573
4620 4.62 1.65401 0.716141
4630 4.63 1.67641 0.725687
4640 4.64 1.68574 0.723094
4650 4.65 1.67934 0.691694
4660 4.66 1.65482 0.657518
4670 4.67 1.61971 0.646982
4680 4.68 1.58301 0.653753
4690 4.69 1.54156 0.687124
4700 4.7 1.49846 0.743658
4710 4.71 1.45991 0.794878
4720 4.72 1.42627 0.816063
4730 4.73 1.40891 0.794647
4740 4.74 1.41217 0.761333
4750 4.75 1.42016 0.7531
4760 4.76 1.41617 0.750969
4770 4.77 1.41008 0.729302
4780 4.78 1.41249 0.688251
4790 4.79 1.43454 0.633633
4800 4.8 1.46523 0.591437
4810 4.81 1.50331 0.534794
4820 4.82 1.54661 0.479392
4830 4.83 1.58547 0.486811
4840 4.84 1.62301 0.535521
4850 4.85 1.66816 0.569497
4860 4.86 1.71271 0.591022
4870 4.87 1.73974 0.630814
4880 4.88 1.74812 0.680973
4890 4.89 1.72295 0.69176
4900 4.9 1.68795 0.679856
4910 4.91 1.67003 0.68001
4920 4.92 1.68292 0.673689
4930 4.93 1.68075 0.686354
4940 4.94 1.63731 0.722789
4950 4.95 1.58768 0.763488
4960 4.96 1.53744 0.794842
4970 4.97 1.49688 0.789019
4980 4.98 1.48253 0.751691
4990 4.99 1.49682 0.699347
5000 5 1.52813 0.643475
5010 5.01 1.55698 0.608763
5020 5.02 1.57653 0.591468
5030 5.03 1.58492 0.579219
5040 5.04 1.58607 0.581299
5050 5.05 1.59425 0.583679
5060 5.06 1.60508 0.594444
5070 5.07 1.61019 0.6069
5080 5.08 1.61925 0.597375
5090 5.09 1.61902 0.599192
5100 5.1 1.61766 0.624409
5110 5.11 1.62382 0.64529
5120 5.12 1.63328 0.669329
5130 5.13 1.64827 0.68598
5140 5.14 1.67188 0.671671
5150 5.15 1.69135 0.647141
5160 5.16 1.69583 0.643914
5170 5.17 1.69673 0.674211
5180 5.18 1.71767 0.705203
5190 5.19 1.74075 0.717166
5200 5.2 1.73552 0.693858
5210 5.21 1.70988 0.669094
5220 5.22 1.66996 0.669603
5230 5.23 1.63302 0.676296
5240 5.24 1.59306 0.693536
5250 5.25 1.53737 0.739044
5260 5.26 1.48953 0.777221
5270 5.27 1.46721 0.777855
5280 5.28 1.46199 0.745207
5290 5.29 1.47055 0.676679
5300 5.3 1.49154 0.605021
5310 5.31 1.51166 0.545663
5320 5.32 1.52022 0.51498
5330 5.33 1.51968 0.544311
5340 5.34 1.52642 0.586266
5350 5.35 1.53069 0.620456
5360 5.36 1.53994 0.649627
5370 5.37 1.55276 0.673459
5380 5.38 1.56718 0.702512
5390 5.39 1.57683 0.721148
5400 5.4 1.58873 0.709067
5410 5.41 1.61876 0.718964
5420 5.42 1.65486 0.747445
5430 5.43 1.67249 0.762255
5440 5.44 1.67277 0.770965
5450 5.45 1.66243 0.763434
5460 5.46 1.64486 0.713999
5470 5.47 1.63047 0.646282
5480 5.48 1.62366 0.580985
5490 5.49 1.63963 0.523472
5500 5.5 1.66857 0.480876
5510 5.51 1.70302 0.467794
5520 5.52 1.72827 0.499435
5530 5.53 1.73992 0.543972
5540 5.54 1.75827 0.547949
5550 5.55 1.79707 0.522577
5560 5.56 1.86174 0.494811
5570 5.57 1.93639 0.476727
5580 5.58 2.0079 0.465174
5590 5.59 2.0607 0.461825
5600 5.6 2.06147 0.466746
5610 5.61 1.99051 0.496085
5620 5.62 1.8839 0.535764
5630 5.63 1.7892 0.560266
5640 5.64 1.72029 0.568991
5650 5.65 1.65811 0.59054
5660 5.66 1.60119 0.607763
5670 5.67 1.53311 0.636665
5680 5.68 1.4413 0.696108
5690 5.69 1.35326 0.767719
5700 5.7 1.29129 0.810811
5710 5.71 1.25504 0.879256
5720 5.72 1.25602 0.996571
5730 5.73 1.28608 1.10384
5740 5.74 1.30644 1.17715
5750 5.75 1.30485 1.24419
5760 5.76 1.2953 1.2696
5770 5.77 1.29474 1.23405
5780 5.78 1.28291 1.16559
5790 5.79 1.26705 1.09747
5800 5.8 1.26126 1.00049
5810 5.81 1.26903 0.905677
5820 5.82 1.2778 0.865416
5830 5.83 1.28763 0.89322
5840 5.84 1.30319 0.92673
5850 5.85 1.32148 0.930755
5860 5.86 1.30155 0.985841
5870 5.87 1.25746 1.05673
5880 5.88 1.23659 1.02373
5890 5.89 1.26666 0.889813
5900 5.9 1.33594 0.791124
5910 5.91 1.4284 0.77927
5920 5.92 1.53117 0.81558
5930 5.93 1.61758 0.810878
5940 5.94 1.68681 0.755054
5950 5.95 1.742 0.722793
5960 5.96 1.78685 0.721111
5970 5.97 1.82637 0.748978
5980 5.98 1.85287 0.790374
5990 5.99 1.87055 0.80797
6000 6 1.90463 0.801749
6010 6.01 1.94243 0.789932
6020 6.02 1.95098 0.76458
6030 6.03 1.90481 0.723886
6040 6.04 1.83365 0.672205
6050 6.05 1.79372 0.615862
6060 6.06 1.80675 0.579705
6070 6.07 1.84963 0.583209
6080 6.08 1.88423 0.617188
6090 6.09 1.88404 0.63857
6100 6.1 1.83685 0.614783
6110 6.11 1.77626 0.566223
6120 6.12 1.72979 0.53651
6130 6.13 1.69809 0.535457
6140 6.14 1.6851 0.545185
6150 6.15 1.68991 0.536075
6160 6.16 1.69708 0.50459
6170 6.17 1.70225 0.476539
6180 6.18 1.68987 0.465765
6190 6.19 1.66366 0.463718
6200 6.2 1.64726 0.465303
6210 6.21 1.64931 0.462891
6220 6.22 1.66147 0.469279
6230 6.23 1.68703 0.479977
6240 6.24 1.71098 0.487159
6250 6.25 1.72224 0.499479
6260 6.26 1.72821 0.523169
6270 6.27 1.74457 0.548825
6280 6.28 1.7667 0.571688
6290 6.29 1.76194 0.586722
6300 6.3 1.71275 0.583621
6310 6.31 1.66479 0.539365
6320 6.32 1.65754 0.489263
6330 6.33 1.68041 0.47297
6340 6.34 1.69252 0.480853
6350 6.35 1.70411 0.481636
6360 6.36 1.73932 0.477228
6370 6.37 1.78225 0.471077
6380 6.38 1.81815 0.461648
6390 6.39 1.84619 0.460097
6400 6.4 1.87633 0.443564
6410 6.41 1.90549 0.418712
6420 6.42 1.95244 0.381255
6430 6.43 2.02008 0.32047
6440 6.44 2.08812 0.27364
6450 6.45 2.11461 0.245325
6460 6.46 2.14285 0.246177
6470 6.47 2.19247 0.268552
6480 6.48 2.22543 0.286911
6490 6.49 2.21158 0.288132
6500 6.5 2.17638 0.31275
6510 6.51 2.15861 0.380322
6520 6.52 2.16024 0.427274
6530 6.53 2.16386 0.445035
6540 6.54 2.14422 0.452399
6550 6.55 2.09131 0.470433
6560 6.56 2.01069 0.4959
6570 6.57 1.95718 0.48434
6580 6.58 1.93587 0.447445
6590 6.59 1.94084 0.408852
6600 6.6 1.99912 0.381254
6610 6.61 2.07207 0.390509
6620 6.62 2.10842 0.434963
6630 6.63 2.08824 0.465232
6640 6.64 2.07259 0.469565
6650 6.65 2.07795 0.468145
6660 6.66 2.10703 0.458478
6670 6.67 2.15553 0.434354
6680 6.68 2.21018 0.42502
6690 6.69 2.26757 0.425609
6700 6.7 2.29734 0.406142
6710 6.71 2.33099 0.388064
6720 6.72 2.35837 0.383405
6730 6.73 2.35177 0.382217
6740 6.74 2.34062 0.390389
6750 6.75 2.3097 0.404193
6760 6.76 2.24193 0.396711
6770 6.77 2.1681 0.383087
6780 6.78 2.09574 0.371363
6790 6.79 2.05117 0.354376
6800 6.8 2.05641 0.343357
6810 6.81 2.10165 0.328741
6820 6.82 2.16811 0.318086
6830 6.83 2.2439 0.32006
6840 6.84 2.32794 0.321401
6850 6.85 2.41194 0.338308
6860 6.86 2.47002 0.371836
6870 6.87 2.49721 0.404824
6880 6.88 2.52898 0.415325
6890 6.89 2.54924 0.398523
6900 6.9 2.53341 0.380919
6910 6.91 2.49594 0.385888
6920 6.92 2.4517 0.400563
6930 6.93 2.42749 0.411146
6940 6.94 2.44762 0.426673
6950 6.95 2.52903 0.450689
6960 6.96 2.63373 0.466301
6970 6.97 2.69393 0.475242
6980 6.98 2.70971 0.468339
6990 6.99 2.68548 0.460252
7000 7 2.63126 0.465746
7010 7.01 2.59573 0.469866
7020 7.02 2.56315 0.464505
7030 7.03 2.49434 0.464737
7040 7.04 2.41929 0.458297
7050 7.05 2.35174 0.433959
7060 7.06 2.29138 0.403356
7070 7.07 2.22594 0.364566
7080 7.08 2.16581 0.323793
7090 7.09 2.12935 0.287196
7100 7.1 2.11575 0.250068
7110 7.11 2.12968 0.225958
7120 7.12 2.15526 0.20521
7130 7.13 2.16778 0.196637
7140 7.14 2.17842 0.211862
7150 7.15 2.19819 0.217673
7160 7.16 2.25074 0.232198
7170 7.17 2.32844 0.260471
7180 7.18 2.39422 0.282603
7190 7.19 2.45084 0.305399
7200 7.2 2.50982 0.338748
7210 7.21 2.52071 0.380392
7220 7.22 2.48758 0.418122
7230 7.23 2.46551 0.435669
7240 7.24 2.45176 0.44304
7250 7.25 2.43893 0.454951
7260 7.26 2.44304 0.470029
7270 7.27 2.48139 0.484864
7280 7.28 2.51506 0.513466
7290 7.29 2.50477 0.551413
7300 7.3 2.48027 0.557978
7310 7.31 2.45976 0.525068
7320 7.32 2.41549 0.493356
7330 7.33 2.36216 0.47477
7340 7.34 2.35433 0.440246
7350 7.35 2.38916 0.392052
7360 7.36 2.41955 0.353815
7370 7.37 2.42982 0.324754
7380 7.38 2.41572 0.298483
7390 7.39 2.38812 0.268298
7400 7.4 2.37576 0.24533
7410 7.41 2.38322 0.237465
7420 7.42 2.41251 0.241944
7430 7.43 2.45868 0.263263
7440 7.44 2.50691 0.304835
7450 7.45 2.5503 0.367219
7460 7.46 2.59505 0.432898
7470 7.47 2.64344 0.496127
7480 7.48 2.69797 0.555545
7490 7.49 2.75304 0.599265
7500 7.5 2.7864 0.627867
7510 7.51 2.79996 0.626849
7520 7.52 2.8058 0.598875
7530 7.53 2.80433 0.586442
7540 7.54 2.78148 0.602385
7550 7.55 2.75572 0.624003
7560 7.56 2.74193 0.622411
7570 7.57 2.72279 0.59659
7580 7.58 2.68405 0.558517
7590 7.59 2.61126 0.502778
7600 7.6 2.53493 0.445485
7610 7.61 2.47778 0.414821
7620 7.62 2.45388 0.405258
7630 7.63 2.46131 0.393164
7640 7.64 2.46217 0.368745
7650 7.65 2.45309 0.335291
7660 7.66 2.43291 0.312265
7670 7.67 2.39684 0.308305
7680 7.68 2.33768 0.32843
7690 7.69 2.24992 0.367042
7700 7.7 2.16772 0.398852
7710 7.71 2.12749 0.423291
7720 7.72 2.11278 0.447202
7730 7.73 2.11122 0.469199
7740 7.74 2.10716 0.487584
7750 7.75 2.10075 0.495744
7760 7.76 2.11711 0.499194
7770 7.77 2.16041 0.493773
7780 7.78 2.19237 0.461817
7790 7.79 2.18106 0.408055
7800 7.8 2.14354 0.359934
7810 7.81 2.11372 0.3482
7820 7.82 2.12117 0.365147
7830 7.83 2.15669 0.373995
7840 7.84 2.17675 0.386005
7850 7.85 2.17279 0.400505
7860 7.86 2.16573 0.413582
7870 7.87 2.16564 0.421364
7880 7.88 2.15278 0.420062
7890 7.89 2.11095 0.425871
7900 7.9 2.03783 0.445516
7910 7.91 1.98118 0.464876
7920 7.92 1.9682 0.486444
7930 7.93 1.97209 0.505379
7940 7.94 1.97114 0.509429
7950 7.95 1.9826 0.492126
7960 7.96 2.02037 0.468048
7970 7.97 2.07136 0.447415
