# Time-averaged data for fix 2
# TimeStep v_simtime c_msd_type1[1] c_msd_type1[3]
10 0.01 0.00960085 -0.0644868
20 0.02 0.0274741 0.00377838
30 0.03 0.0283339 0.174417
40 0.04 0.0279791 0.105098
50 0.05 0.0349282 -0.0778152
60 0.06 0.0418924 -0.0319891
70 0.07 0.0515543 0.0410946
80 0.08 0.0617444 0.0429288
90 0.09 0.0643601 0.225778
100 0.1 0.0650216 0.531352
110 0.11 0.068535 0.954767
120 0.12 0.0753061 1.56645
130 0.13 0.0888991 2.0428
140 0.14 0.104771 2.0028
150 0.15 0.115114 1.633
160 0.16 0.121553 1.43975
170 0.17 0.12651 1.38418
180 0.18 0.129006 1.23175
190 0.19 0.127982 1.12359
200 0.2 0.126242 1.16066
210 0.21 0.123282 1.22203
220 0.22 0.121306 1.22598
230 0.23 0.12179 1.11605
240 0.24 0.119504 1.11076
250 0.25 0.111705 1.26022
260 0.26 0.101683 1.45894
270 0.27 0.0982682 1.36916
280 0.28 0.100639 1.10968
290 0.29 0.10399 0.961979
300 0.3 0.104659 0.990529
310 0.31 0.103613 1.07889
320 0.32 0.103616 0.938008
330 0.33 0.10532 0.759469
340 0.34 0.107845 0.821362
350 0.35 0.110142 0.986194
360 0.36 0.114817 1.0383
370 0.37 0.125348 1.0024
380 0.38 0.139458 0.814717
390 0.39 0.148185 0.61551
400 0.4 0.146237 0.537122
410 0.41 0.132868 0.522014
420 0.42 0.116575 0.568278
430 0.43 0.105674 0.668448
440 0.44 0.0976924 0.692815
450 0.45 0.0906072 0.539409
460 0.46 0.0843533 0.384839
470 0.47 0.0840605 0.36991
480 0.48 0.0885857 0.326089
490 0.49 0.0873561 0.294013
500 0.5 0.0854128 0.262953
510 0.51 0.0900179 0.268949
520 0.52 0.0973268 0.321251
530 0.53 0.103054 0.325739
540 0.54 0.107508 0.215907
550 0.55 0.109483 0.118075
560 0.56 0.108137 0.16271
570 0.57 0.0983985 0.233015
580 0.58 0.0904669 0.254309
590 0.59 0.0855892 0.349272
600 0.6 0.0791199 0.588152
610 0.61 0.0814402 0.524077
620 0.62 0.0931005 0.341951
630 0.63 0.0946782 0.376608
640 0.64 0.0915449 0.403999
650 0.65 0.0935262 0.462197
660 0.66 0.10453 0.476975
670 0.67 0.118696 0.492197
680 0.68 0.12661 0.704288
690 0.69 0.124902 1.13178
700 0.7 0.120271 1.53512
710 0.71 0.114029 1.96564
720 0.72 0.105629 2.49318
730 0.73 0.102167 2.48122
740 0.74 0.100841 2.16944
750 0.75 0.105995 1.90939
760 0.76 0.120777 1.8328
770 0.77 0.134227 2.11161
780 0.78 0.134334 2.29613
790 0.79 0.123373 1.98853
800 0.8 0.110566 1.33576
810 0.81 0.0991003 0.80955
820 0.82 0.0932711 0.549542
830 0.83 0.0979822 0.335636
840 0.84 0.106631 0.268818
850 0.85 0.112028 0.319626
860 0.86 0.111515 0.473312
870 0.87 0.110847 0.511384
880 0.88 0.113059 0.435782
890 0.89 0.107907 0.611371
900 0.9 0.0969889 0.996966
910 0.91 0.0952802 1.13343
920 0.92 0.104278 1.25038
930 0.93 0.115495 1.44643
940 0.94 0.123794 1.53458
950 0.95 0.129009 1.52196
960 0.96 0.128118 1.54135
970 0.97 0.124469 1.40228
980 0.98 0.120938 1.10716
990 0.99 0.115803 1.0659
1000 1 0.116361 1.08135
1010 1.01 0.125856 1.00037
1020 1.02 0.133214 0.980454
1030 1.03 0.138081 0.887195
1040 1.04 0.139313 0.883035
1050 1.05 0.137298 1.06999
1060 1.06 0.136368 1.28013
1070 1.07 0.137093 1.38806
1080 1.08 0.133455 1.55704
1090 1.09 0.128171 1.80036
1100 1.1 0.133092 1.79171
1110 1.11 0.150448 1.58616
1120 1.12 0.162627 1.65206
1130 1.13 0.171889 1.83157
1140 1.14 0.180932 1.90844
1150 1.15 0.176449 1.96512
1160 1.16 0.165846 1.95706
1170 1.17 0.165688 1.75704
1180 1.18 0.172529 1.70063
1190 1.19 0.173578 1.87219
1200 1.2 0.164659 1.9679
1210 1.21 0.153879 1.96509
1220 1.22 0.15697 1.60624
1230 1.23 0.171367 1.14377
1240 1.24 0.183683 0.856396
1250 1.25 0.183351 0.74423
1260 1.26 0.179157 0.7062
1270 1.27 0.184082 0.631173
1280 1.28 0.184708 0.584952
1290 1.29 0.175765 0.656433
1300 1.3 0.170493 0.840835
1310 1.31 0.165774 1.08825
1320 1.32 0.163631 1.25237
1330 1.33 0.165233 1.09927
1340 1.34 0.169678 0.798033
1350 1.35 0.166789 0.647514
1360 1.36 0.16161 0.632115
1370 1.37 0.161828 0.57744
1380 1.38 0.161683 0.511737
1390 1.39 0.163239 0.578884
1400 1.4 0.166141 0.664478
1410 1.41 0.169706 0.606841
1420 1.42 0.173835 0.529344
1430 1.43 0.17387 0.554657
1440 1.44 0.166649 0.727652
1450 1.45 0.161532 0.815315
1460 1.46 0.164176 0.75396
1470 1.47 0.167638 0.771484
1480 1.48 0.164578 0.936135
1490 1.49 0.154774 1.11065
1500 1.5 0.142135 1.28265
1510 1.51 0.135159 1.36425
1520 1.52 0.129863 1.38531
1530 1.53 0.117942 1.51658
1540 1.54 0.108331 1.60305
1550 1.55 0.103646 1.51951
1560 1.56 0.101187 1.43253
1570 1.57 0.104629 1.21988
1580 1.58 0.108487 1.14059
1590 1.59 0.105374 1.39762
1600 1.6 0.0996851 1.75744
1610 1.61 0.0980993 1.90572
1620 1.62 0.100776 1.60457
1630 1.63 0.103042 1.19157
1640 1.64 0.106775 0.856352
1650 1.65 0.111407 0.751374
1660 1.66 0.116731 0.869148
1670 1.67 0.12853 1.10842
1680 1.68 0.14588 1.10919
1690 1.69 0.155738 1.06488
1700 1.7 0.154922 1.10445
1710 1.71 0.152247 1.07344
1720 1.72 0.149282 0.958554
1730 1.73 0.141096 0.933697
1740 1.74 0.131258 0.934058
1750 1.75 0.128911 0.902861
1760 1.76 0.128491 0.895374
1770 1.77 0.12156 1.03171
1780 1.78 0.116898 1.25321
1790 1.79 0.119104 1.20857
1800 1.8 0.123996 1.07708
1810 1.81 0.124694 1.33121
1820 1.82 0.120053 1.90638
1830 1.83 0.109181 1.74224
