# r  g(r)  NumPairs  ShellVolume
0.05 0.0 0.0 0.0
0.15000000000000002 0.0 0.0 0.0
0.25 0.0 0.0 0.0
0.35000000000000003 0.0 0.0 0.0
0.45 0.0 0.0 0.0
0.55 0.0 0.0 0.0
0.65 0.0 0.0 0.0
0.75 0.0 0.0 0.0
0.8500000000000001 0.0 0.0 0.0
0.9500000000000001 0.0 0.0 0.0
1.05 0.0 0.0 0.0
1.1500000000000001 0.0 0.0 0.0
1.25 0.0 0.0 0.0
1.35 0.0 0.0 0.0
1.4500000000000002 0.0 0.0 0.0
1.55 0.0 0.0 0.0
1.6500000000000001 0.0 0.0 0.0
1.75 0.0 0.0 0.0
1.85 0.0 0.0 0.0
1.9500000000000002 0.0 0.0 0.0
2.0500000000000003 0.0 0.0 0.0
2.15 0.0 0.0 0.0
2.25 0.0 0.0 0.0
2.35 0.0 0.0 0.0
2.45 0.0 0.0 0.0
2.5500000000000003 0.008014117336954629 0.0006237524950099802 0.03493013972055888
2.6500000000000004 0.12657697641692167 0.01126318790989451 0.5958083832335329
2.75 0.6148687345324713 0.06691973196464214 3.116766467065868
2.85 1.494170940580008 0.2121827773025376 8.134730538922154
2.95 1.994971061973924 0.4199814656401489 11.636726546906187
3.0500000000000003 2.0663854138709494 0.6500570287995442 12.884231536926146
3.1500000000000004 1.7455025221613634 0.8573567151411466 11.60878243512974
3.25 1.155238464278462 1.0034039064727693 8.178642714570858
3.35 0.580868148186321 1.0814264328485919 4.3692614770459075
3.45 0.379676543389604 1.1355146849158761 3.0289421157684626
3.5500000000000003 0.47874878096998197 1.2077274023381852 4.043912175648702
3.6500000000000004 0.5469841457665114 1.294945822640436 4.884231536926147
3.75 0.4216349976294621 1.3659110350727066 3.9740518962075844
3.85 0.23707720326114137 1.4079697747362443 2.3552894211576842
3.95 0.16433854131177064 1.438658397490739 1.718562874251497
4.05 0.20489111028750073 1.4788815226689447 2.2524950099800396
4.15 0.29179660687242814 1.5390290846877703 3.368263473053892
4.25 0.3691559392373696 1.6188337610493273 4.469061876247505
4.3500000000000005 0.4050234753359603 1.7105610208155115 5.136726546906187
4.45 0.38461924187028607 1.8017179925862565 5.104790419161676
4.55 0.35581586055615544 1.8898809523809519 4.937125748502994
4.65 0.36181876951612923 1.9835151126318795 5.243512974051896
4.75 0.37598163071269525 2.085044197319647 5.68562874251497
4.8500000000000005 0.380767994049503 2.1922405189620755 6.002994011976047
4.95 0.3662686017659363 2.299650698602795 6.014970059880239
5.050000000000001 0.3172242833177985 2.396474907328197 5.422155688622754
5.15 0.2530926138824337 2.4768142286854866 4.4990019960079835
5.25 0.1858447822674383 2.5381201881950397 3.43313373253493
5.3500000000000005 0.1333894493608542 2.583814513829485 2.558882235528942
5.45 0.10963955424486382 2.622790134017676 2.182634730538922
5.550000000000001 0.12013023997752328 2.6670765611633893 2.4800399201596806
5.65 0.1699317796315098 2.732000285143999 3.6357285429141712
5.75 0.2608588556395842 2.8352224123182244 5.780439121756486
5.8500000000000005 0.34882953046487664 2.9780973766752226 8.000998003992015
5.95 0.389316543527601 3.143053179355574 9.2375249500998
6.050000000000001 0.432043570991744 3.332317507841465 10.59880239520958
6.15 0.4886586984039435 3.553517964071853 12.387225548902194
6.25 0.5013178233119957 3.787888508696888 13.124750499001994
6.3500000000000005 0.43336150927104977 3.9970238095238084 11.711576846307384
6.45 0.360576555038836 4.17655759908754 10.053892215568862
6.550000000000001 0.31157589893631416 4.3365412033076725 8.959081836327345
6.65 0.2759777962686571 4.482606216139149 8.179640718562874
6.75 0.2588084914108298 4.623734673510124 7.903193612774451
6.8500000000000005 0.21557402264167272 4.744796122041622 6.7794411177644704
6.95 0.17948111814396445 4.848552894211568 5.810379241516966
7.050000000000001 0.1500384164430632 4.937802965497577 4.998003992015968
7.15 0.1406862439569013 5.023880809808951 4.820359281437125
7.25 0.1651050327738758 5.127744510978045 5.8163672654690615
7.3500000000000005 0.22304791288461268 5.271956087824352 8.075848303393213
7.45 0.2762851154979202 5.455481893356139 10.27744510978044
7.550000000000001 0.27533665102819294 5.64332050185344 10.518962075848302
7.65 0.24139235587558783 5.812393071000855 9.468063872255488
7.75 0.22231123243414627 5.972198460222411 8.949101796407184
7.8500000000000005 0.24734820201708163 6.1546193327630485 10.215568862275449
7.95 0.2766939900760746 6.3639150270886775 11.720558882235528
8.05 0.2718615420114463 6.574761191901906 11.807385229540918
8.15 0.22756833331025333 6.755667236954655 10.130738522954092
8.25 0.18377639952277847 6.90536783575705 8.383233532934131
8.35 0.18525286926728335 7.059951525520397 8.656686626746506
8.450000000000001 0.23152953716536098 7.257805816937549 11.079840319361276
8.55 0.3067282520575446 7.5261619617907 15.027944111776446
8.65 0.37496485593186885 7.861936840604498 18.803393213572853
8.75 0.37968823690328873 8.209848160821211 19.483033932135726
8.85 0.33790393228963495 8.526589677787285 17.7375249500998
8.950000000000001 0.27780492276311036 8.792914171656687 14.914171656686625
9.05 0.22191949503213187 9.010443398916449 12.181636726546905
9.15 0.17165223868110802 9.182438694040487 9.631736526946106
9.25 0.12579231675512137 9.311252495009985 7.213572854291416
9.35 0.09698705413889173 9.41272811519818 5.682634730538922
9.450000000000001 0.0905598720491512 9.509516680923861 5.420159680638722
9.55 0.09912271491123774 9.617711006558308 6.058882235528942
9.65 0.10721707035533275 9.737204163102358 6.691616766467066
9.75 0.11528915151660576 9.868370402053039 7.3453093812375245
9.850000000000001 0.11768729480320035 10.0050256629598 7.652694610778442
9.950000000000001 0.10781317770165386 10.132770173937828 7.153692614770458
