Generated by pymatgen.io.lammps.data.LammpsData

192  atoms

  4  atom types

0.000000 12.977995  xlo xhi
0.000000 13.044509  ylo yhi
0.000000 13.040655  zlo zhi
0.039426 0.039960 0.006998  xy xz yz

Masses

1    6.94100
2  138.90547
3   91.22400
4   15.99940

Atoms

128  4 0.0000 12.364351 11.154638  0.569387
129  4 0.0000  6.027799  0.792350  4.667266
130  4 0.0000 12.478833  5.784337  8.443237
131  4 0.0000  6.991610  7.332039  1.893139
132  4 0.0000  0.570584 12.361226 11.171202
133  4 0.0000  8.515488  6.971696 12.326592
134  4 0.0000  4.442509  0.458768  7.256555
135  4 0.0000 11.020639  6.062702  5.801473
136  4 0.0000  2.081958 12.646900  0.754328
137  4 0.0000 12.247686  8.523556  6.864982
138  4 0.0000  7.136423  4.591380  0.347052
139  4 0.0000  5.840930 11.127780  6.254055
140  4 0.0000  0.832691  2.030016 12.787042
141  4 0.0000  6.906608 12.411745  8.576947
142  4 0.0000  0.405101  7.224426  4.552973
143  4 0.0000  6.153423  5.923155 11.025793
144  4 0.0000 12.563963  0.729638  2.007850
145  4 0.0000  1.367910 10.510766  2.869232
146  4 0.0000  5.144133  2.549204  9.362210
147  4 0.0000 11.618987  4.031033  3.609361
148  4 0.0000  7.899404  9.030528 10.123515
149  4 0.0000 10.364614  2.763340  1.331783
150  4 0.0000  2.546378  9.287500  5.275323
151  4 0.0000  4.019561  3.815431 11.745211
152  4 0.0000  9.140660 10.336152  7.910561
153  4 0.0000  2.802328  1.393447 10.589411
154  4 0.0000  9.213816  5.164906  2.538809
155  4 0.0000  3.767344 11.659118  4.088784
156  4 0.0000 10.286294  7.897787  9.111257
157  4 0.0000  5.250162  9.050613  3.726420
158  4 0.0000  1.217615  3.982535 10.255236
159  4 0.0000  7.757433  2.522480  2.817092
160  4 0.0000 11.836585 10.520777  9.403178
161  4 0.0000  8.983395  3.588567  5.277960
162  4 0.0000  3.912512 10.111676  1.350265
163  4 0.0000  2.575505  2.979211  7.880553
164  4 0.0000 10.586497  9.515494 11.823977
165  4 0.0000  3.641802  5.302017  9.163052
166  4 0.0000 10.117487  1.274866  3.979076
167  4 0.0000  2.890310  7.750031  2.675388
168  4 0.0000  9.380275 11.776505 10.527852
169  4 0.0000 11.121486 12.636556  7.267034
170  4 0.0000  1.920689  6.090333 12.345068
171  4 0.0000  8.354971  0.329870  0.787082
172  4 0.0000  4.633425  6.849534  5.785059
173  4 0.0000  7.177968 11.103712 12.561178
174  4 0.0000 12.259783  1.997844  6.041638
175  4 0.0000  0.754519  8.468338  0.568434
176  4 0.0000  5.875455  4.635936  7.089712
177  4 0.0000 12.556507  7.318250 11.187496
178  4 0.0000  5.989566 12.302996  1.923026
179  4 0.0000  0.503003  0.813376  8.413376
180  4 0.0000  7.019891  5.835423  4.650717
181  4 0.0000  1.986920  0.445955  5.806345
182  4 0.0000 10.931196  6.977561  0.736183
183  4 0.0000  4.571250 12.588487 12.321750
184  4 0.0000  8.571185  6.128162  7.274629
185  4 0.0000  5.719031  1.997833  0.344748
186  4 0.0000  0.687327 11.117116  6.867413
187  4 0.0000 12.330292  4.609159 12.774457
188  4 0.0000  7.321452  8.548723  6.266788
189  4 0.0000  0.377917  5.885900  2.056486
190  4 0.0000  6.894368  0.705656 11.073266
191  4 0.0000 12.642232 12.441943  4.505627
192  4 0.0000  6.114680  7.255355  8.528230

